epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_memory_bytes
1,2.1928165219393643,0.22698181818181817,2.0539571350097656,0.3108,0.3108,0.003,56.17195610003546,67221504
2,1.961526325485923,0.3624,1.8918464965820312,0.3956,0.3956,0.003,55.35665190004511,67221504
3,1.8464041396921331,0.41594545454545456,1.8114294189453124,0.4294,0.4294,0.003,55.44798810000066,67221504
4,1.784412780640342,0.4356181818181818,1.7658729888916016,0.4394,0.4394,0.003,55.564506500028074,67221504
5,1.7456471597498113,0.44583636363636364,1.7343717559814453,0.4432,0.4432,0.003,55.59822899999563,67221504
6,1.7176763005169955,0.4517272727272727,1.7122557861328125,0.4438,0.4438,0.003,65.62072690000059,67221504
7,1.6938183584733444,0.45647272727272725,1.6895540252685546,0.4514,0.4514,0.003,73.31460119999247,67221504
8,1.6709961779507723,0.46347272727272726,1.667466015625,0.4616,0.4616,0.003,74.4498590999865,67221504
9,1.650624310874939,0.46998181818181817,1.6485364685058594,0.4734,0.4734,0.003,72.88933959999122,67221504
10,1.6336960183577105,0.47596363636363637,1.6316798309326173,0.4762,0.4762,0.003,71.36152000003494,67221504
11,1.6200749195098878,0.48194545454545457,1.6204303009033203,0.4788,0.4788,0.003,71.31987339997431,67221504
12,1.6094896121805364,0.48507272727272727,1.6110043029785157,0.4802,0.4802,0.003,70.99043380003422,67221504
13,1.6009426808270542,0.4863454545454545,1.6017872039794923,0.482,0.482,0.003,72.45150929997908,67221504
14,1.5933514530528676,0.4868,1.5951636169433594,0.479,0.482,0.003,71.63127660000464,67221504
15,1.5869061435005882,0.48772727272727273,1.5873394653320312,0.4832,0.4832,0.003,71.52307180000935,67221504
