epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_memory_bytes
1,2.0879024145473135,0.31896363636363634,1.809158514404297,0.4944,0.4944,0.003,89.81907020002836,67953152
2,1.6450231895273382,0.5648545454545455,1.5306270965576172,0.5866,0.5866,0.003,89.60641800001031,67953152
3,1.4340431594155052,0.6132727272727273,1.3757451904296876,0.6122,0.6122,0.003,89.68079029995715,67953152
4,1.3046019994042137,0.6395818181818181,1.2733772521972657,0.6412,0.6412,0.003,89.89535590005107,67953152
5,1.2130308733159845,0.6650545454545455,1.1943338348388672,0.6672,0.6672,0.003,89.44202969997423,67953152
6,1.1402102035349067,0.6869272727272727,1.1296377349853515,0.6848,0.6848,0.003,90.28229480003938,67953152
7,1.0810820371454413,0.7042363636363637,1.0754584228515625,0.6948,0.6948,0.003,88.28912010003114,67953152
8,1.0331527855092828,0.7174363636363636,1.031712939453125,0.7084,0.7084,0.003,88.02916729997378,67953152
9,0.9925908831162886,0.7308,0.9931475128173828,0.7272,0.7272,0.003,90.2250689000357,67953152
10,0.9573497309858149,0.7409636363636364,0.9595391662597657,0.7328,0.7328,0.003,88.74826889997348,67953152
11,0.9257195985794068,0.7505272727272727,0.9301232025146484,0.745,0.745,0.003,89.33473180001602,67953152
12,0.8975460871176286,0.7570545454545454,0.9023408142089844,0.7544,0.7544,0.003,89.88350890000584,67953152
13,0.8720829720670527,0.7643272727272727,0.8763067733764649,0.7618,0.7618,0.003,89.88624520000303,67953152
14,0.8486163885203275,0.7701090909090909,0.8545598770141601,0.7628,0.7628,0.003,89.9338657000335,67953152
15,0.8268483551198786,0.7763272727272728,0.8335586181640625,0.7672,0.7672,0.003,90.35940730001312,67953152
