epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_allocated_bytes,gpu_reserved_bytes
1,2.152803574024547,0.31165454545454546,1.9615672546386718,0.402,0.402,0.003,55.25201350002317,67193856.0,104857600.0
2,1.8109247242667459,0.44036363636363635,1.7159825073242188,0.4774,0.4774,0.003,55.09204379998846,67193856.0,104857600.0
3,1.633886626035517,0.5200727272727272,1.5836789978027344,0.5342,0.5342,0.003,57.64420280000195,67193856.0,104857600.0
4,1.5177854569521818,0.5636909090909091,1.4835530944824218,0.561,0.561,0.003,63.722607400035486,67193856.0,104857600.0
5,1.4242993495941163,0.5984727272727273,1.3989816253662108,0.6,0.6,0.003,62.59996770002181,67193856.0,104857600.0
6,1.3443680914792147,0.6323818181818182,1.3267803771972657,0.6304,0.6304,0.003,62.10461129999021,67193856.0,104857600.0
7,1.2777257359591396,0.6552363636363636,1.2664320892333985,0.6488,0.6488,0.003,64.46810550004011,67193856.0,104857600.0
8,1.2223124912088568,0.6703090909090909,1.2166573974609376,0.661,0.661,0.003,63.095295700011775,67193856.0,104857600.0
9,1.1758061832081188,0.6812,1.1754474578857421,0.6708,0.6708,0.003,62.453527500038035,67193856.0,104857600.0
10,1.1366562611666593,0.6878545454545455,1.1393047180175782,0.6732,0.6732,0.003,59.56738339998992,67193856.0,104857600.0
11,1.1027511193015358,0.6938181818181818,1.1086412475585938,0.6756,0.6756,0.003,54.82512890000362,67193856.0,104857600.0
12,1.0734217826843262,0.6988727272727273,1.0815889831542969,0.6874,0.6874,0.003,54.09382489998825,67193856.0,104857600.0
13,1.0476845738324252,0.7042363636363637,1.0575090698242187,0.6862,0.6874,0.003,54.12202760000946,67193856.0,104857600.0
14,1.0252222088206897,0.7070727272727273,1.037129928588867,0.6914,0.6914,0.003,53.81205069995485,67193856.0,104857600.0
15,1.0047314676978372,0.7112363636363637,1.018668475341797,0.6956,0.6956,0.003,54.295274599979166,67193856.0,104857600.0
