epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_memory_bytes
1,2.124078729352084,0.31725454545454546,1.9505327575683593,0.4016,0.4016,0.003,63.743309499986935,67193856
2,1.795874384065108,0.48925454545454544,1.6908572235107422,0.5364,0.5364,0.003,63.687065900012385,67193856
3,1.569693803804571,0.5818181818181818,1.5085734252929688,0.5996,0.5996,0.003,64.00777959998231,67193856
4,1.4141958049947565,0.6241636363636364,1.3789957061767577,0.625,0.625,0.003,63.76909910002723,67193856
5,1.2968877020228993,0.6539636363636364,1.277346728515625,0.6556,0.6556,0.003,63.8317543999874,67193856
6,1.20348133874373,0.6766,1.196799658203125,0.6674,0.6674,0.003,63.84931020002114,67193856
7,1.130718674070185,0.6939272727272727,1.1313444854736328,0.6854,0.6854,0.003,63.86765309999464,67193856
8,1.0725958019950173,0.7064909090909091,1.079646484375,0.694,0.694,0.003,63.87234170001466,67193856
9,1.0251771295027299,0.7168909090909091,1.0354539093017578,0.7044,0.7044,0.003,63.53608410002198,67193856
10,0.9846505481546576,0.7265272727272727,0.9986031982421875,0.716,0.716,0.003,63.850019600009546,67193856
11,0.9498949681802229,0.7349272727272728,0.9651200714111328,0.7264,0.7264,0.003,63.74081200000364,67193856
12,0.9190159881678495,0.7416909090909091,0.9356280319213868,0.739,0.739,0.003,63.78373779996764,67193856
13,0.890938405938582,0.7491818181818182,0.9061073226928711,0.7436,0.7436,0.003,63.55739900004119,67193856
14,0.8638133921189741,0.756090909090909,0.8769654403686523,0.7508,0.7508,0.003,63.837614300020505,67193856
15,0.8386541168299588,0.7635636363636363,0.8503721572875976,0.7588,0.7588,0.003,64.14462410000851,67193856
