epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_memory_bytes
1,2.2562366623965175,0.17536363636363636,2.175197064208984,0.2394,0.2394,0.003,75.93094569997629,67235328
2,2.107368609445745,0.27325454545454547,2.0599671325683593,0.2972,0.2972,0.003,75.85927509999601,67235328
3,2.01603459815979,0.325,1.9815929412841797,0.3326,0.3326,0.003,75.54182049998781,67235328
4,1.9423285637942227,0.34785454545454547,1.9242304382324218,0.347,0.347,0.003,75.829888999986,67235328
5,1.8960301373221657,0.3577818181818182,1.893882977294922,0.3468,0.347,0.003,65.73334410000825,67235328
6,1.8710385817614468,0.3603272727272727,1.8741171844482423,0.3568,0.3568,0.003,63.23138920002384,67235328
7,1.8525238418925891,0.3626,1.8565803833007812,0.3526,0.3568,0.003,63.212379200034775,67235328
8,1.837819369246743,0.3635090909090909,1.8443521759033203,0.3588,0.3588,0.003,63.1101975000347,67235328
9,1.826655169764432,0.3662,1.83567666015625,0.3626,0.3626,0.003,63.02049060002901,67235328
10,1.8181299328717317,0.36754545454545456,1.8283962371826172,0.3642,0.3642,0.003,62.39189909998095,67235328
11,1.811071585187045,0.3685272727272727,1.8228190887451172,0.3638,0.3642,0.003,62.39813139999751,67235328
12,1.8053824068069457,0.36969090909090907,1.818799627685547,0.365,0.365,0.003,62.52177399996435,67235328
13,1.800167381286621,0.3726,1.8140342895507813,0.3634,0.365,0.003,62.51522679999471,67235328
14,1.7957325133757158,0.3713818181818182,1.8107367462158204,0.365,0.365,0.003,62.413242499984335,67235328
15,1.7917698212190107,0.3720363636363636,1.8067250671386719,0.3684,0.3684,0.003,62.55503540002974,67235328
