epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,epoch_seconds
1,1.5409738859696822,0.6186727272727273,1.088925,0.7588,0.7545992970692622,0.001,19.563080599997193
2,0.7886190219012174,0.8636363636363636,0.695575,0.8552,0.8535313792673367,0.001,12.071674300008453
3,0.5344694568980823,0.902090909090909,0.6303875,0.8376,0.8339774847719952,0.001,11.982609200000297
4,0.4040640897360715,0.9200909090909091,0.5556875,0.8436,0.8403043226866285,0.001,11.779979499988258
5,0.33103300867947666,0.9298545454545455,0.47594375,0.866,0.8648390204423286,0.001,12.048571300008916
6,0.28149388702565975,0.9362727272727273,0.35968125,0.904,0.9030986611877966,0.001,11.963942600006703
7,0.245203885308179,0.9421454545454545,0.2841875,0.9274,0.927232835892822,0.001,12.003400600005989
8,0.21819488403146917,0.9465454545454546,0.35488125,0.8976,0.8970543496992922,0.001,12.075670999998692
9,0.20102602169080214,0.9489272727272727,0.291059375,0.9166,0.9160748173980592,0.001,12.121221399997012
10,0.1865935228391127,0.9522,0.253434375,0.9302,0.929868813886579,0.001,11.996047200009343
11,0.17634562278877605,0.9539090909090909,0.316859375,0.9066,0.9062772042968996,0.001,12.01639889999933
12,0.16472794228250331,0.9559636363636363,0.250121875,0.929,0.9286938432454827,0.001,11.99019870000484
13,0.15743049270673232,0.9564909090909091,0.29258125,0.9142,0.9136878477700658,0.0005,11.976607200005674
14,0.14737610884146257,0.9594727272727273,0.239984375,0.9312,0.9307589759191378,0.0005,12.198168799994164
15,0.14302611422322012,0.9615636363636364,0.218621875,0.9352,0.9348810281092211,0.0005,12.008486099992297
16,0.13951871296925977,0.9618545454545454,0.31975625,0.9042,0.903237459651635,0.0005,12.15544589998899
17,0.13661248546080157,0.9625636363636364,0.226290625,0.937,0.9367101068061483,0.0005,12.071357299995725
18,0.1335056992487474,0.9632181818181819,0.215078125,0.937,0.9366694090612999,0.0005,12.098989100006293
19,0.1300066144358028,0.9640181818181818,0.291103125,0.9138,0.9127784688235293,0.0005,12.089166699995985
20,0.12766083006425338,0.9645272727272727,0.287665625,0.9168,0.9159679905537036,0.00025,11.910743600004935
21,0.12307607771049846,0.9656545454545454,0.2429625,0.928,0.9273784348707664,0.00025,11.98822189999919
22,0.12198665812449022,0.9656181818181818,0.258228125,0.9196,0.9188994570825454,0.00025,12.007890600012615
23,0.12000252972949635,0.9665272727272727,0.243109375,0.926,0.925179949693813,0.000125,11.988105399999768
