epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
1,2.0636952945189044,0.42918181818181816,1.877928106689453,0.477,0.4536607522266296,0.0001,0.002,0.005,0.0,3.2844877529423684,21.33043798804283
2,1.7301629210212013,0.5221090909090909,1.6320623474121094,0.529,0.5181827659515538,0.0001,0.002,0.005,0.0,7.909275443293154,17.77657074481249
3,1.454307123895125,0.6041818181818182,1.695106524658203,0.4022,0.4090628914228412,9.779754323328192e-05,0.0019513012337136779,0.004877886008156408,997.4274396337569,15.126295194029808,16.776576701551676
4,1.1841631785479458,0.6867272727272727,1.482713442993164,0.4968,0.5006580585606685,9.140576474687264e-05,0.0018099719094030727,0.004523497400965494,1003.1654403489083,11.787598717957735,14.943962652236223
5,1.0054181469397112,0.7351454545454545,1.3511621185302733,0.5346,0.538908990022324,8.14503363531613e-05,0.0015898463260310108,0.00397152420446972,1070.1650226358324,12.641877051442862,13.542154120281339
6,0.8767141332539645,0.7654727272727273,1.2289905181884766,0.5736,0.5752655969754158,6.890576474687264e-05,0.0013124719094030728,0.003275997400965494,1034.924733074382,13.006612181663513,12.160239722579718
7,0.7882898213473233,0.7876181818181818,1.1245689239501953,0.6146,0.6150758971753614,5.500000000000001e-05,0.001005,0.0025050000000000003,1091.9799129739404,13.334989070892334,10.98813760932535
8,0.7308464552359147,0.8000727272727273,1.1125566192626952,0.6178,0.6177813615322909,4.109423525312737e-05,0.0006975280905969274,0.0017340025990345066,1089.8426663912833,13.453261621296406,10.61109372973442
9,0.693590974486958,0.808490909090909,1.0929272888183594,0.6276,0.6292985441047245,2.8549663646838717e-05,0.0004201536739689894,0.00103847579553028,1120.315800756216,13.696618109941483,10.094996057450771
10,0.6695336629780856,0.8149272727272727,1.0996484558105468,0.62,0.6214895624667225,1.8594235253127375e-05,0.0002000280905969274,0.0004865025990345065,inf,14.00978421792388,9.844195765443146
11,0.6533548775933006,0.8177818181818182,1.0533114044189453,0.641,0.6412308551721508,1.2202456766718093e-05,5.869876628632224e-05,0.00013211399184359196,1103.3799810111523,13.833801794797182,9.738232158124447
12,0.6455855332201177,0.820490909090909,1.1010705657958983,0.6136,0.6147613413988955,1e-05,1e-05,1e-05,1116.6492942478508,14.049174167215824,9.690323801711202
