epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,epoch_seconds
1,2.176723366061124,0.17036363636363636,2.08965,0.2292,0.18929457894980756,0.0005,37.7958854999888
2,1.936364302184365,0.2801818181818182,1.999175,0.2662,0.21038420239619934,0.0005,30.005498700003955
3,1.8413040303143589,0.31332727272727273,1.86535,0.2924,0.23979441315182576,0.0005,29.88364120000915
4,1.7711125847382978,0.34241818181818184,1.80135,0.324,0.27206061691171024,0.0005,29.514275400011684
5,1.687025748166171,0.3781090909090909,1.714275,0.361,0.2897237145153869,0.0005,29.959178399993107
6,1.5594288901935924,0.42354545454545456,1.5996875,0.4108,0.35256434464167896,0.0005,29.34186279999267
7,1.433758009702509,0.49061818181818184,1.48175,0.4774,0.421807621873225,0.0005,28.53158579999581
8,1.313813294098594,0.5395272727272727,1.3921875,0.5142,0.47156138790415303,0.0005,28.316205199997057
9,1.2317092621716585,0.5643636363636364,1.30105,0.53,0.48690851966005316,0.0005,28.371960699994816
10,1.1696733866778286,0.5870545454545455,1.24615,0.556,0.5114355273300902,0.0005,28.62726079999993
11,1.1259740967663852,0.6013272727272727,1.2169,0.5598,0.5268216179755422,0.0005,28.478286300000036
12,1.083702460236983,0.612,1.1813875,0.5778,0.557178349070882,0.0005,28.595701800004463
13,1.0561573343797164,0.6280545454545454,1.1632875,0.5814,0.5667942137520151,0.0005,28.18889190000482
14,1.0259637822411276,0.636,1.1203,0.612,0.6102777222251774,0.0005,28.48604930000147
15,1.0023585473320702,0.643,1.1130375,0.6058,0.5898889551482638,0.0005,28.345068499998888
16,0.9826422762957486,0.6494181818181818,1.1135125,0.6098,0.5958223905125536,0.0005,28.314438500005053
17,0.9632443025415593,0.6566181818181818,1.109025,0.5872,0.56868015980078,0.00025,28.65349640000204
18,0.9387455036423423,0.666,1.0422125,0.624,0.6104146677335345,0.00025,28.599488899999415
19,0.930519300252741,0.6696727272727273,1.07065,0.618,0.6087625059076908,0.00025,28.441794200000004
20,0.921226663164659,0.6760909090909091,1.0266875,0.652,0.6477309309133266,0.00025,28.57252729999891
21,0.9116820969234813,0.6815454545454546,1.03484375,0.6254,0.6141884681937546,0.00025,28.60038989999157
22,0.8996087984518572,0.6846181818181818,1.032925,0.6244,0.6109209853996316,0.00025,28.209545999998227
23,0.8895886721177535,0.6857272727272727,1.040175,0.6406,0.6399117890955839,0.000125,28.428907100009383
24,0.8779981190681457,0.6919636363636363,1.0657125,0.6204,0.6129585375559854,0.000125,28.740053799992893
25,0.8747824424310164,0.6954363636363636,1.01800625,0.6402,0.6270934085468836,0.000125,28.529950800002553
