epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.5896872011163018,0.8779636363636364,0.2516116371154785,0.9354,0.9355220485321627
2,0.15845415916984731,0.9605272727272727,0.17237162761688232,0.95,0.9498932737738439
3,0.1093178892178969,0.9700909090909091,0.1656703685760498,0.9504,0.9501715867488951
4,0.08795590191104195,0.9754545454545455,0.13967330913543702,0.9576,0.9575381196494147
5,0.07618205386400223,0.9787272727272728,0.11028704099655151,0.9674,0.9673692178526647
6,0.06743867444612762,0.9810363636363636,0.09227883229255676,0.9724,0.9723773801611927
7,0.06225583680759777,0.9822909090909091,0.09067657775878907,0.9722,0.9722033104689582
8,0.056874956552548844,0.9833272727272727,0.14214406032562255,0.9542,0.9540291910895545
9,0.051905050098896025,0.9847272727272727,0.08501042881011962,0.9742,0.9742065733188353
10,0.048632438400387765,0.9855636363636363,0.10920699911117554,0.9656,0.9653844907320902
11,0.045619350266185674,0.9865272727272727,0.0916245958328247,0.9702,0.9701102304821358
12,0.04304766780652783,0.9867636363636364,0.08364850063323975,0.9734,0.9733822903195355
13,0.03544747510281476,0.9902909090909091,0.09038496103286743,0.9728,0.9727924250353139
14,0.033606349590691656,0.9900181818181818,0.088212269115448,0.973,0.9729615086252199
15,0.0318876702723178,0.9912545454545455,0.07851721143722534,0.9772,0.9772069800119827
16,0.03126544876748865,0.9908545454545454,0.0815189715385437,0.9758,0.9757641413611147
17,0.029528388900377532,0.9913272727272727,0.07237488374710083,0.978,0.978022148742341
18,0.028987658274173735,0.9914181818181819,0.08622877349853515,0.9722,0.9721747077336979
19,0.027402629121325232,0.9921454545454546,0.08670996046066284,0.9746,0.9745967805284037
20,0.02602883249751546,0.9926909090909091,0.0888787052154541,0.972,0.9719864513426677
21,0.022722731439633805,0.993909090909091,0.07265988731384278,0.978,0.9780043160790077
22,0.02202236463996497,0.9941636363636364,0.08127531471252442,0.9766,0.976624185031721
23,0.020802038919383828,0.9946,0.08040172061920166,0.9754,0.9753770796205175
