epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.895758345339515,0.8314909090909091,0.4075213096618652,0.9262,0.9262595813074073
2,0.28006606567339465,0.9436727272727272,0.2668673942565918,0.9366,0.9365544696724554
3,0.18118822733272205,0.9589454545454545,0.4941431438446045,0.8416,0.8385746226480768
4,0.14076286877285352,0.9648363636363636,0.19602658386230468,0.9458,0.9455622565556485
5,0.11756647868373177,0.9690909090909091,0.1426794599533081,0.959,0.9590683720639719
6,0.10341822546666318,0.9714727272727273,0.15090958251953124,0.9588,0.9587560648026106
7,0.09351457511836832,0.9749454545454546,0.11377318897247314,0.9668,0.9668610990578109
8,0.08601716568036513,0.9764545454545455,0.15456732358932496,0.954,0.9539238073007142
9,0.0784150427276438,0.9780181818181818,0.110465793800354,0.9678,0.9678570830296069
10,0.07348488694754514,0.9787272727272728,0.10070570421218872,0.9726,0.972568971586694
11,0.07242874088178981,0.9781454545454545,0.09474382429122925,0.9724,0.9724011568216303
12,0.06847292210622268,0.9802545454545455,0.0898716667175293,0.9724,0.9724609567572713
